Rgr,Nogr,ARY,IRY,CGRY,SMRY,MRY,CRY,TRY,SRY,TTRY,ICRY,URY,AFRY,FRY,RRY,PRY,ASRY,PARY,ERY,HRY,AERY,ORY,EXR,SDR,MPR,CPD,CG,CPS,CCPS,COS,SD,TD,RR,ER,NFA,NDC,EXP,IMP
6.891880966,3.740371606,2653864.07,3381469.36,2406675.90,16462.91,958330.55,423202.98,2336145.86,4656034.41,153360.44,1420186.81,73607.44,64460.43,342267.50,902313.79,464330.20,3432.18,596118.32,237238.12,98084.34,18340.47,282294.36,33221.80,1.41,7.50,2.29,169007.88,8853786.54,7211338.25,1642448.30,1671012.99,10820980.03,698.34,121523.92,6765281.98,9022794.42,1189596.57,890600.90
6.364369664,5.602626351,2955290.83,3240824.02,2193573.11,12082.11,1035168.80,396928.67,2389494.93,4775193.57,182376.92,1522289.50,70930.17,53171.07,368764.79,984564.08,481390.54,3412.17,559717.83,226861.99,99745.69,20461.95,201506.86,31890.91,1.40,8.00,2.34,795069.63,8924890.19,6943442.23,1981447.95,1763467.72,11294049.76,698.34,412379.48,6105081.39,9719959.81,1449185.36,830344.32
3.60154525,4.790275717,4130570.31,3128904.77,2022201.71,14444.87,1092258.19,409798.04,2394392.07,4755954.07,192578.27,1417250.38,72102.90,70603.03,330113.29,1043020.90,517328.41,3520.64,537210.36,269737.11,86720.23,18835.24,196933.30,31740.23,1.46,9.25,2.32,1721422.88,9299452.88,7314509.01,1984943.87,1783327.91,11707572.40,698.34,272632.09,6350327.38,11020875.76,1021378.18,1063678.55
4.68671846,8.919594954,3689653.56,3123048.05,1976185.90,16428.39,1130433.75,587900.13,2520871.70,5561500.37,207927.61,1723319.96,77905.47,80182.55,353551.02,1215967.30,568416.54,3459.99,614330.87,353832.94,89565.29,19176.87,253863.95,32639.78,1.41,12.00,2.27,772793.99,12741651.96,6972366.28,5769285.69,1861410.97,11933865.57,772434.50,259278.00,6643750.21,13514445.96,1220864.54,763527.58
3.455498846,6.013788073,2805803.39,3404226.64,2207300.05,17829.79,1179096.80,464059.99,2372083.93,4869332.09,149024.86,1483622.25,88340.29,76807.83,438293.51,939107.77,501458.55,3061.40,431896.37,242685.15,102502.24,24923.55,387608.31,35197.44,1.67,12.00,2.38,760916.05,12641717.85,6961405.06,5680312.79,1913301.66,12161580.68,823524.11,103230.67,6977498.43,13402633.90,1387259.65,1319775.14
4.10907662,6.819945592,3160094.68,3154458.06,1970219.52,15185.84,1169052.70,554283.67,2429742.75,5024468.61,177251.18,1609897.36,88916.35,58600.19,444546.74,1029071.99,503704.68,3441.42,463256.22,231093.41,102053.56,26306.68,286328.83,35412.50,1.76,12.00,2.37,-149906.00,13424724.81,7574598.22,5850126.59,1938394.60,12424055.72,843105.16,43596.51,7193697.18,13274818.81,1096706.57,799790.98
5.572447266,4.899410832,4307966.75,3484527.24,2221019.12,17647.89,1245860.23,457864.51,2453205.81,4941870.43,185063.41,1442732.35,74482.89,82625.51,392159.17,1109844.94,569870.54,3479.06,436982.67,274599.25,90303.00,22658.00,257069.65,40640.40,1.79,12.00,2.51,-719813.03,13893486.14,7664015.54,6229470.60,1941431.58,13157394.13,1254989.61,285957.76,9003739.94,13173673.11,1167092.03,467266.65
3.635804777,5.659372647,4055840.80,2984833.58,1774717.14,20466.75,1189649.69,513256.12,2598646.32,5893327.68,199736.80,1732261.46,81202.61,92916.85,412906.48,1301912.11,615038.76,3388.51,506597.16,357518.59,95441.94,23945.81,470460.61,43830.42,1.66,12.00,2.21,785027.11,13732825.65,7672657.18,6060168.47,2018641.81,14089673.74,1339730.55,283589.32,8715647.35,14517852.76,1319094.69,723905.91
4.454849954,7.443043676,2874849.13,3404315.32,1955768.08,20119.26,1428427.98,532140.14,2520207.73,5203908.63,155641.63,1574537.00,92051.01,126761.51,475570.70,1020105.42,508248.49,3191.90,416464.61,286849.47,106630.62,28442.12,409414.16,47884.12,1.77,12.00,2.21,-580874.10,13926713.31,7901817.51,6024895.80,2062087.46,14695870.62,1431541.44,458030.63,9368368.14,13345839.21,1248219.25,696015.49
5.401893488,8.882759061,3241176.38,3098769.25,1646663.33,18317.27,1433788.65,628357.70,2565516.56,5562943.66,183608.50,1758522.30,104324.39,101612.25,483741.43,1192288.40,519518.35,3540.83,464786.77,256102.30,112143.93,30386.54,352367.67,44957.00,2.04,12.00,2.02,779373.73,14395619.37,8309384.24,6086235.13,2101494.56,14755743.89,1455872.92,151812.39,8937814.83,15174993.10,1254802.49,690024.04
